,question_en,answer_en,chapter_no,verse_list
866,Do they apportion the mercy of your Lord? We have already apportioned their livelihood among them in this world and raised some of them above others in degrees that they may take some of them as subordinates. And your Lord's mercy is better than what they accumulate. .,"The most important thing is that these disbelievers divide prophethood and place it wherever they wish. We have divided their livelihood in this world among them in provisions and sustenance, and we have raised some of them above others in degrees: this one is rich, and this one is poor, this one is strong, and this one is weak; so that some may be servants to others in this life. The mercy of your Lord, O Messenger, in admitting them to Paradise is better than what they gather of the fleeting world's debris.",43,[32]
868,"If we take you away, we will certainly take revenge on them.","If you, O Messenger, are killed before achieving victory over the disbelievers from your people, we will indeed take revenge on them in the hereafter.",43,[41]
869,"And they said, 'O you the sorcerer, invoke for us your Lord by which you have a promise, indeed we are [now] guided.'  Al-Zukhruf. What does the word 'sorcery' refer to?","O you who are complete in the world, the magician among them was great and they respected him, and magic was not a blameworthy quality.",43,[49]
870,"What does 'فَلَمَّا آسَفُونَا' mean in Surah Az-Zukhruf, verse 55?","When they angered Allah, the Exalted, by disobeying and rejecting Moses and the signs he brought.",43,[55]
872,"Indeed, it is a sign of the Hour, so do not doubt it and follow me. This is a straight path.  Al-Zukhruf. In the verse, there is a sign of the Hour. What is it?","The descent of Jesus, peace be upon him, before the Day of Judgment is one of the signs of the Hour.",43,[61]
873,What is the difference of opinion among the sects regarding the matter of Jesus ?,"The sects disagreed about the matter of Jesus, peace be upon him, and became divided into different groups: some affirm that he is a servant and messenger of Allah, which is the truth, while others claim that he is the son of Allah, and still others say that he is Allah Himself. Exalted is Allah far above what they claim. On the Day of Judgment, those who attribute to Jesus anything other than what Allah has attributed to him will face ruin, destruction, and severe punishment.",43,[65]
874,"On that day, some will be enemies to others, except the righteous. Explain this verse from Surah Az-Zukhruf .","Friends who commit sins together in this world will disown each other on the Day of Judgment, but those who befriend each other for the sake of righteousness, their friendship will last forever in this world and the hereafter.",43,[67]
875,"Is it permissible for a Muslim to use a golden vessel in this worldly life? If so, is it also permissible in the hereafter? What is the evidence?","No, and the proof is that they will be served with golden bowls and cups, and in them will be what the souls desire and the eyes delight in, and you will remain in that state forever.",43,[71]
876,"Indeed, the criminals will abide eternally in the punishment of Hellfire. They will not be lightened from it, and they will be plunged into it. .","Those who have earned sins by their disbelief will abide in the torment of Hell, no alleviation will be given to them, and they will be cut off from the mercy of Allah.",43,[74 75]
877,What is the conversation that takes place between the people of Hellfire and its keeper on the Day of Judgment? And what is Allah's response to the people of Hellfire?,"The criminals called out to Malik, the keeper of Hell, after Allah had thrown them into it: 'O Malik, let our Lord command us to be put to rest from what we are experiencing,' but Malik replied, 'You will indeed stay here; there is no escape for you from it, nor any respite.' Allah said, 'We have indeed sent the truth to you, but most of you are averse to the truth.' Do these disbelievers think that Allah will not hear their secret conversations and whispers among themselves? Indeed, We do hear and know all. Say, 'O disbelievers, do you think that the angels are the daughters of Allah? If that were the case, I would be the first to worship the offspring you claim.' But this is not so, and it will never be. Allah is far removed from what they say. And they said, 'O Malik, let our Lord command us to be put to rest,' but he said, 'You will indeed stay here.'",43,[77 78 79 80 81]
